Title,Produced by,Cinematography,Country,Running Time (int),Release Date (datetime),Directed by,Distributed by,Language,Written by,Starring,Edited by,Music by,Production companies,Based on,Story by,Budget (float),Box Office (float)
The Tempest,Robert Chartoff,Stuart Dryburgh,United States,110,2010-09-11,Julie Taymor,Walt Disney Studios Motion Pictures,English,Julie Taymor,"['Helen Mirren', 'Russell Brand', 'Reeve Carney', 'Tom Conti', 'Chris Cooper', 'Alan Cumming', 'Djimon Hounsou', 'Felicity Jones', 'Alfred Molina', 'David Strathairn', 'Ben Whishaw']",Françoise Bonnot,Elliot Goldenthal,"['Touchstone Pictures', 'Miramax Films']","['The Tempest', 'William Shakespeare']",,20000000.0,346594.0
The Fighter,"['David Hoberman', 'Todd Lieberman', 'Ryan Kavanaugh', 'Mark Wahlberg', 'Dorothy Aufiero', 'Paul Tamasy']",Hoyte van Hoytema,United States,116,2010-12-06,David O. Russell,Paramount Pictures,English,"['Scott Silver', 'Paul Tamasy', 'Eric Johnson']","['Mark Wahlberg', 'Christian Bale', 'Amy Adams', 'Melissa Leo']",Pamela Martin,Michael Brook,"['Relativity Media', 'The Weinstein Company', 'Mandeville Films', 'Closest to the Hole Productions']",,"['Keith Dorrington', 'Paul Tamasy', 'Eric Johnson']",11000000.0,129199999.99999999
How Do You Know,"['Julie Ansell', 'James L. Brooks', 'Laurence Mark', 'Paula Weinstein']",Janusz Kamiński,United States,121,2010-12-13,James L. Brooks,Sony Pictures Releasing,English,James L. Brooks,"['Reese Witherspoon', 'Owen Wilson', 'Paul Rudd', 'Jack Nicholson', 'Kathryn Hahn']",Richard Marks,Hans Zimmer,Columbia Pictures,,,120000000.0,48700000.0
Tron: Legacy,"['Sean Bailey', 'Jeffrey Silver', 'Steven Lisberger']",Claudio Miranda,United States,125,2010-11-30,Joseph Kosinski,Walt Disney Studios Motion Pictures,English,"['Edward Kitsis', 'Adam Horowitz']","['Garrett Hedlund', 'Jeff Bridges', 'Olivia Wilde', 'Bruce Boxleitner', 'James Frain', 'Beau Garrett', 'Michael Sheen']",James Haygood,Daft Punk,"['Walt Disney Pictures', 'Sean Bailey Productions']","['Steven Lisberger', 'Bonnie MacBird']","['Edward Kitsis', 'Adam Horowitz', 'Brian Klugman', 'Lee Sternthal']",170000000.0,400100000.0
Yogi Bear,"['Donald De Line', 'Karen Rosenfelt']",Peter James,United States,80,2010-12-11,Eric Brevig,Warner Bros. Pictures,English,"['Brad Copeland', 'Joshua Sternin', 'Jennifer Ventimilia']","['Dan Aykroyd', 'Justin Timberlake', 'Anna Faris', 'Tom Cavanagh', 'T.J. Miller']",Kent Beyda,John Debney,"['De Line Pictures', 'Sunswept Entertainment']","['The Yogi Bear Show', 'William Hanna', 'Joseph Barbera']",,80000000.0,203500000.0
Casino Jack,Gary Howsam Bill Marks George Zakk,Adam Swica,Canada,103,2010-09-16,George Hickenlooper,Entertainment One,English,Norman Snider,"['Kevin Spacey', 'Barry Pepper', 'Rachelle Lefevre', 'Kelly Preston', 'Jon Lovitz', 'Maury Chaykin']",William Steinkamp,Jonathan Goldsmith,Hannibal Pictures Rollercoaster Entertainment,,,12500000.0,1200000.0
Rabbit Hole,"['Gigi Pritzker', 'Nicole Kidman', 'Per Saari', 'Leslie Urdang', 'Dean Vanech']",Frankie DeMarco,United States,91,2010-09-13,John Cameron Mitchell,Lionsgate,English,David Lindsay-Abaire,"['Nicole Kidman', 'Aaron Eckhart', 'Dianne Wiest', 'Tammy Blanchard', 'Miles Teller', 'Giancarlo Esposito', 'Jon Tenney', 'Sandra Oh']",Joe Klotz,Anton Sanko,"['Olympus Pictures', 'Blossom Films', 'OddLot Entertainment']",Rabbit Hole,,3000000.0,6200000.0
Little Fockers,"['Jane Rosenthal', 'Robert De Niro', 'Jay Roach', 'John Hamburg']",Remi Adefarasin,United States,98,2010-12-22,Paul Weitz,"['Universal Pictures (North America)', 'Paramount Pictures (International)']",English,"['John Hamburg', 'Larry Stuckey']","['Robert De Niro', 'Ben Stiller', 'Owen Wilson', 'Blythe Danner', 'Teri Polo', 'Jessica Alba', 'Dustin Hoffman', 'Barbra Streisand']","['Greg Hayden', 'Leslie Jones', 'Myron Kerstein']",Stephen Trask,"['DreamWorks Pictures', 'Relativity Media', 'TriBeCa Productions', 'Everyman Pictures']",Greg Glienna,,100000000.0,310700000.0
True Grit,"['Joel Coen', 'Ethan Coen', 'Scott Rudin']",Roger Deakins,United States,110,2010-12-22,Joel Coen Ethan Coen,Paramount Pictures,English,"['Joel Coen', 'Ethan Coen']","['Jeff Bridges', 'Matt Damon', 'Josh Brolin', 'Barry Pepper', 'Hailee Steinfeld']",Roderick Jaynes,Carter Burwell,"['Paramount Pictures', 'Skydance Productions', 'Mike Zoss Productions', 'DreamWorks Pictures', 'Scott Rudin Productions']","['True Grit', 'Charles Portis']",,35000000.0,252300000.0
Somewhere,"['G. Mac Brown', 'Roman Coppola', 'Sofia Coppola']",Harris Savides,,98,2010-09-11,Sofia Coppola,Focus Features,English,Sofia Coppola,"['Stephen Dorff', 'Elle Fanning']",Sarah Flack,Phoenix,"['Pathé Distribution', 'Medusa Film', 'Tohokushinsha', 'American Zoetrope']",,,7000000.0,13900000.0
Country Strong,"['Tobey Maguire', 'Jenno Topping']",John Bailey,United States,117,2010-11-08,Shana Feste,"['Screen Gems', 'Sony Pictures Releasing']",English,Shana Feste,"['Gwyneth Paltrow', 'Tim McGraw', 'Garrett Hedlund', 'Leighton Meester']",Connor O'Neill,Michael Brook,Maguire Pictures,,,12000000.0,20600000.0
Gulliver's Travels,"['John Davis', 'Gregory Goodman']",David Tattersall,United States,85,2010-12-25,Rob Letterman,20th Century Fox,English,"['Joe Stillman', 'Nicholas Stoller']","['Jack Black', 'Jason Segel', 'Emily Blunt', 'Amanda Peet', 'Billy Connolly', ""Chris O'Dowd"", 'T.J. Miller', 'James Corden', 'Catherine Tate', 'Olly Alexander']","['Dean Zimmerman', 'Alan Edward Bell']",Henry Jackman,"['Dune Entertainment', 'Davis Entertainment']","[""Gulliver's Travels"", 'Jonathan Swift']",,112000000.0,237400000.0
Another Year,Georgina Lowe,Dick Pope,United Kingdom,129,2010-05-15,Mike Leigh,"['Momentum Pictures (United Kingdom)', 'Focus Features International (International)']",English,Mike Leigh,"['Jim Broadbent', 'Lesley Manville', 'Ruth Sheen']",Jon Gregory,Gary Yershon,"['Film4 Productions', 'UK Film Council', 'Thin Man Films']",,,8000000.0,20000000.0
Biutiful,"['Alejandro González Iñárritu', 'Jon Kilik', 'Fernando Bovaira']",Rodrigo Prieto,,147,2010-05-17,Alejandro González Iñárritu,"['Videocine (Mexico)', 'United International Pictures (Spain)']",,"['Alejandro González Iñárritu', 'Armando Bó', 'Nicolás Giacobone']",Javier Bardem,Stephen Mirrione,Gustavo Santaolalla,"['Menage Atroz', 'MOD Producciones', '', 'Televisión Española', 'Televisió de Catalunya', 'ICAA Ministerio de Cultura', 'Ikiru Films', 'Cha Cha Cha Films']",a story by Alejandro González Iñárritu,,35000000.0,24700000.0
Blue Valentine,"['Lynette Howell', 'Alex Orlovsky', 'Jamie Patricof']",Andrij Parekh,United States,112,2010-01-24,Derek Cianfrance,The Weinstein Company,English,"['Derek Cianfrance', 'Joey Curtis', 'Cami Delavigne']","['Ryan Gosling', 'Michelle Williams']","['Jim Helton', 'Ron Patane']",Grizzly Bear,"['Hunting Lane Films', 'Silverwood Films']",,,1000000.0,16600000.000000002
"If I Want to Whistle, I Whistle",Cătălin Mitulescu Daniel Mitulescu,Marius Panduru,Romania,94,2010-02-13,Florin Șerban,,Romanian,Cătălin Mitulescu,George Piștereanu,Sorin Baican,,,,,,
Phil Ochs: There but for Fortune,"['Michael Cohl', 'Michael Ochs']",,United States,97,2010-10-01,Kenneth Bowser,First Run Features,English,Kenneth Bowser,,Pamela Scott Arnold,Phil Ochs,,,,,
Season of the Witch,"['Alex Gartner', 'Charles Roven']",Amir Mokri,United States,95,2011-01-04,Dominic Sena,"['Relativity Media', 'Rogue']",English,Bragi F. Schut,"['Nicolas Cage', 'Ron Perlman', 'Stephen Campbell Moore', 'Claire Foy', 'Stephen Graham', 'Ulrich Thomsen', 'Robert Sheehan', 'Christopher Lee']","['Mark Helfrich', 'Dan Zimmerman']",Atli Örvarsson,Atlas Entertainment,,,40000000.0,
The Time That Remains,Hani Farsi Michael Gentile,Marc-André Batigne,,109,2009-08-12,Elia Suleiman,Le Pacte,,Elia Suleiman,"['Elia Suleiman', 'Saleh Bakri', 'Leila Mouammar', 'Bilal Zidani', 'Samar Qudha Tanus']",Véronique Lange,Matthieu Sibony,,,,,
Barney's Version,Robert Lantos,Guy Dufaux,Canada,134,2010-09-10,Richard J. Lewis,Entertainment One,English,Michael Konyves,"['Paul Giamatti', 'Rosamund Pike', 'Minnie Driver', 'Rachelle Lefevre', 'Scott Speedman', 'Dustin Hoffman']",Susan Shipton,Pasquale Catalano,,"[""Barney's Version"", 'Mordecai Richler']",,30000000.0,12100000.0
The Dilemma,"['Brian Grazer', 'Ron Howard', 'Vince Vaughn']",Salvatore Totino,United States,118,2011-01-14,Ron Howard,Universal Pictures,English,Allan Loeb,"['Vince Vaughn', 'Kevin James', 'Jennifer Connelly', 'Winona Ryder', 'Channing Tatum', 'Queen Latifah']","['Mike Hill', 'Daniel P. Hanley']","['Hans Zimmer', 'Lorne Balfe']","['Imagine Entertainment', 'Spyglass Entertainment', 'Wild West Picture Show Productions']",,,70000000.0,
The Green Hornet,Neal H. Moritz,John Schwartzman,United States,119,2011-01-10,Michel Gondry,Sony Pictures Releasing,English,"['Seth Rogen', 'Evan Goldberg']","['Seth Rogen', 'Jay Chou', 'Christoph Waltz', 'Cameron Diaz', 'Edward James Olmos', 'David Harbour', 'Tom Wilkinson']",Michael Tronick,James Newton Howard,"['Columbia Pictures', 'Original Film']","['George W. Trendle', 'Fran Striker']",,120000000.0,229200000.0
No Strings Attached,"['Jeffrey Clifford', 'Joe Medjuck', 'Ivan Reitman']",Rogier Stoffers,United States,108,2011-01-11,Ivan Reitman,Paramount Pictures,English,['Elizabeth Meriwether'],"['Natalie Portman', 'Ashton Kutcher', 'Cary Elwes', 'Kevin Kline']",Dana E. Glauberman,John Debney,"['DreamWorks Pictures', 'Spyglass Entertainment', 'Cold Spring Pictures', 'The Montecito Picture Company', 'Katalyst Films', 'Handsomecharlie Films']",,"['Mike Samonek', 'Elizabeth Meriwether']",25000000.0,149200000.0
Open Season 3,Kirk Bodyfelt,,United States,75,2010-10-21,Cody Cameron,Sony Pictures Home Entertainment,English,David I. Stern,"['Matthew J. Munn', 'Maddie Taylor', 'Melissa Sturm', 'Karley Scott Collins', 'Ciara Bravo', 'Harrison Fahn', 'Dana Snyder', 'André Sogliuzzo']",Nancy Frazen Arthur D. Noda,Jeff Cardoni,Sony Pictures Animation,Steve Moore,,,7500000.0
The Mechanic,"['Irwin Winkler', 'Robert Chartoff', 'David Winkler', 'William Chartoff']",Eric Schmidt,United States,93,2011-01-28,Simon West,CBS Films,English,"['Lewis John Carlino', 'Richard Wenk']","['Jason Statham', 'Ben Foster', 'Tony Goldwyn', 'Donald Sutherland', 'James Logan', 'Mini Andén', 'Jeff Chase', 'Christa Campbell']","['T.G. Herrington', 'Todd E. Miller']",Mark Isham,"['Millennium Films', 'Chartoff-Winkler Productions']",,Lewis John Carlino,40000000.0,76300000.0
The Rite,"['Beau Flynn', 'Tripp Vinson']",Ben Davis,,113,2011-01-26,Mikael Håfström,['Warner Bros. Pictures'],,Michael Petroni,"['Anthony Hopkins', ""Colin O'Donoghue"", 'Alice Braga', 'Ciarán Hinds', 'Rutger Hauer']",Peter Boyle,Alex Heffes,"['New Line Cinema', 'Contrafilm']",The Rite: The Making of a Modern Exorcist by Matt Baglio,,37000000.0,96600000.0
Cold Weather,Lars Knudsen,Andrew Reed,United States,97,2010-03-13,Aaron Katz,"['IFC Films', 'Axiom Films']",English,Aaron Katz,"['Cris Lankenau', 'Trieste Kelly Dunn', 'Raúl Castillo']",Aaron Katz,Keegan DeWitt,,,Aaron Katz Brendan McFadden Ben Stambler,,144056.0
The Other Woman,Marc E. Platt,Steve Yedlin,United States,102,2009-09-16,Don Roos,IFC Films,English,Don Roos,"['Natalie Portman', 'Scott Cohen', 'Charlie Tahan', 'Lauren Ambrose', 'Lisa Kudrow']",David Codron,John Swihart,"['Incentive Filmed Entertainment', 'Marc Platt Productions', ""Is or Isn't Productions"", 'Handsomecharlie Films']","['Love and Other Impossible Pursuits', 'Ayelet Waldman']",,,1400000.0
The Roommate,"['Roy Lee', 'Doug Davison']",Phil Parmet,United States,94,2011-02-04,Christian E. Christiansen,Screen Gems,English,Sonny Mallhi,"['Leighton Meester', 'Minka Kelly', 'Cam Gigandet', 'Aly Michalka', 'Danneel Harris', 'Frances Fisher', 'Billy Zane']",Randy Bricker,John Frizzell,Vertigo Entertainment,,,16000000.0,52500000.0
Sanctum,Andrew Wight,Jules O'Loughlin,,109,2011-02-03,Alister Grierson,Universal Pictures,English,"['John Garvin', 'Andrew Wight']","['Richard Roxburgh', 'Rhys Wakefield', 'Alice Parkinson', 'Dan Wyllie', 'Ioan Gruffudd']",Mark Warner,David Hirschfelder,"['Relativity Media', 'Wayfare Entertainment', 'FilmNation Entertainment']",,,30000000.0,108600000.0
Waiting for Forever,"['Trevor Albert', 'John Papsidera', 'Jane Seymour', 'Richard Arlook', 'Jack Giarraputo']",Matthew Irving,United States,94,2010-02-10,James Keach,Freestyle Releasing,English,Steve Adams,"['Rachel Bilson', 'Tom Sturridge', 'Jaime King', 'Nikki Blonsky', 'Scott Mechlowicz', 'Blythe Danner', 'Roz Ryan', 'Richard Jenkins']",Pamela March,Nick Urata,PCH Film,,,5000000.0,25517.0
Carancho,Martina Gusmán,Julián Apezteguia,,107,2010-05-06,Pablo Trapero,"['Buena Vista International', 'Ad Vitam Distribution']",Spanish,Alejandro Fadel Martín Mauregui Santiago Mitre Pablo Trapero,Ricardo Darín,Ezequiel Borovinsky Pablo Trapero,,Ad Vitam Production,,,,
Carbon Nation,Peter Byck Artemis Joukowsky Craig Sieben Chrisna Van Zyl Karen Weigert,,United States,86,2010-10-22,Peter Byck,,English,,"['R. James Woolsey', 'Richard Branson', 'Denis Hayes', 'Van Jones', 'Lester R. Brown', 'Ralph Cavanagh', 'Bob Fox', 'Thomas Friedman', 'Eban Goodstein', 'Gary Hirshberg', 'Sadhu Aufochs Johnston', 'Amory B. Lovins', 'Joel Makower', 'Edward Mazria', 'Arthur H. Rosenfeld', 'John Rowe (CEO) Exelon']",Peter Byck Patrick Coleman Duncan (assistant editor),Robert Hawes Matt Heck,Earth School Education Foundation,,,,
Cedar Rapids,"['Jim Burke', 'Alexander Payne', 'Jim Taylor']",Chuy Chávez,United States,86,2011-01-23,Miguel Arteta,Fox Searchlight Pictures,English,Phil Johnston,"['Ed Helms', 'John C. Reilly', 'Anne Heche', 'Isiah Whitlock Jr.', 'Sigourney Weaver']",Eric Kissack,Christophe Beck,Ad Hominem Enterprises,,,,7700000.0
The Eagle,Duncan Kenworthy,Anthony Dod Mantle,,114,2011-02-11,Kevin Macdonald,"['Focus Features (United States)', 'Universal Pictures (International)']",English,Jeremy Brock,"['Channing Tatum', 'Jamie Bell', 'Donald Sutherland', 'Mark Strong']",Justine Wright,Atli Örvarsson,"['Toledo Productions', 'Film4 Productions', 'DMG Entertainment']","['The Eagle of the Ninth', 'Rosemary Sutcliff']",,25000000.0,38000000.0
Gnomeo & Juliet,"['Baker Bloodworth', 'Steve Hamilton Shaw', 'David Furnish']",,,84,2011-01-23,Kelly Asbury,"['Walt Disney Studios Motion Pictures (worldwide)', 'Entertainment One Films (United Kingdom and Canada)']",English,"['Rob Sprackling', 'John Smith']","['James McAvoy', 'Emily Blunt', 'Michael Caine', 'Maggie Smith', 'Jason Statham', 'Patrick Stewart', 'Ashley Jensen', 'Stephen Merchant', 'Matt Lucas', 'Jim Cummings', 'Julie Walters', 'Richard Wilson', 'Ozzy Osbourne', 'Dolly Parton', 'Hulk Hogan']",Catherine Apple,"['James Newton Howard', 'Chris Bacon']","['Touchstone Pictures', 'Rocket Pictures', 'Starz Animation']","['Romeo and Juliet', 'William Shakespeare']","['Rob Sprackling', 'John Smith', 'Andy Riley', 'Kevin Cecil', 'Kelly Asbury', 'Steve Hamilton Shaw']",36000000.0,193900000.0
Just Go with It,"['Adam Sandler', 'Jack Giarraputo', 'Heather Parry']",Theo van de Sande,United States,117,2011-02-08,Dennis Dugan,Sony Pictures Releasing,English,"['Allan Loeb', 'Timothy Dowling']","['Adam Sandler', 'Jennifer Aniston']",Tom Costain,Rupert Gregson-Williams,"['Columbia Pictures', 'Happy Madison Productions']","['Cactus Flower', 'I. A. L. Diamond', 'Cactus Flower', 'Abe Burrows', 'Pierre Barillet', 'Jean-Pierre Gredy']",,80000000.0,215000000.0
Justin Bieber: Never Say Never,"['Scooter Braun', 'Justin Bieber', 'Antonio ""L.A."" Reid', 'Usher Raymond IV', 'Dan Cutforth', 'Jane Lipsitz']",Reed Smoot,United States,106,2011-02-11,Jon M. Chu,Paramount Pictures,English,,Justin Bieber,"['Avi Youabian', 'Jay Cassidy', 'Jillian Moul']",Deborah Lurie,"['Insurge Pictures', 'MTV Films', 'Scooter Braun Films', 'L.A. Reid Media', 'AEG Live', 'Island Records']",,,13000000.0,99000000.0
Mooz-lum,Peace Film,,United States,95,2010-09-17,"Qasim ""Q"" Basir",CodeBlack Lionsgate,English,"Qasim ""Q"" Basir","['Danny Glover', 'Nia Long', 'Evan Ross', 'Roger Guenveur Smith']",,,,,,1200000.0,369129.0
"Big Mommas: Like Father, Like Son","['David T. Friendly', 'Michael Green']",Anthony B. Richmond,United States,107,2011-02-18,John Whitesell,20th Century Fox,English,Matthew Fogel,"['Martin Lawrence', 'Brandon T. Jackson', 'Jessica Lucas', 'Tony Curran', 'Portia Doubleday', 'Michelle Ang', 'Emily Rios']",Priscilla Nedd-Friendly,David Newman,"['Regency Enterprises', 'New Regency', 'Friendly Films', 'Runteldat Entertainment', 'The Collective', 'Dune Entertainment']",Characters by Darryl Quarles,"['Matthew Fogel', 'Don Rhymer']",32000000.0,82300000.0
I Am Number Four,Michael Bay,Guillermo Navarro,United States,109,2011-02-18,D. J. Caruso,Walt Disney Studios Motion Pictures,English,"['Alfred Gough', 'Miles Millar', 'Marti Noxon']","['Alex Pettyfer', 'Timothy Olyphant', 'Teresa Palmer', 'Dianna Agron', 'Callan McAuliffe', 'Kevin Durand']","['Vince Filippone', 'Jim Page']",Trevor Rabin,"['DreamWorks Pictures', 'Reliance Big Entertainment', 'Bay Films']","['I Am Number Four', 'Pittacus Lore']",,50000000.0,149900000.0
Unknown,"['Joel Silver', 'Leonard Goldberg', 'Andrew Rona']",Flavio Labiano,,113,2011-02-16,Jaume Collet-Serra,"['Warner Bros. Pictures (International)', 'Kinowelt Filmverleih (Germany)', 'Optimum Releasing (United Kingdom)', 'StudioCanal (France)']",English,"['Oliver Butcher', 'Mandy Richardson', 'Stephen Cornwell']","['Liam Neeson', 'Diane Kruger', 'January Jones', 'Aidan Quinn', 'Frank Langella']",Tim Alverson,"['John Ottman', 'Alexander Rudd']","['Dark Castle Entertainment', 'Studio Babelsberg Motion Pictures GmbH', 'Panda']",Didier Van Cauwelaert,,30.0,136100000.0
Drive Angry,"['Michael De Luca', 'René Besson', 'Adam Fields']",Brian Pearson,United States,104,2011-02-25,Patrick Lussier,Summit Entertainment,English,"['Todd Farmer', 'Patrick Lussier']","['Nicolas Cage', 'Amber Heard', 'William Fichtner', 'Billy Burke', 'Charlotte Ross', 'Katy Mixon', 'Tom Atkins']","['Patrick Lussier', 'Devin C. Lussier']",Michael Wandmacher,"['Nu Image', 'Saturn Films', 'Michael De Luca Production']",,,45000000.0,41000000.0
Hall Pass,"['Charles B. Wessler', 'Bradley Thomas', 'Bobby Farrelly', 'Peter Farrelly']",Matthew F. Leonetti,United States,105,2011-02-25,"['Peter Farrelly', 'Bobby Farrelly']",Warner Bros. Pictures,English,"['Bobby Farrelly', 'Peter Farrelly', 'Pete Jones', 'Kevin Barnett']","['Owen Wilson', 'Jason Sudeikis', 'Jenna Fischer', 'Richard Jenkins', 'Christina Applegate', 'Stephen Merchant']",Sam Seig,Rolfe Kent,"['New Line Cinema', 'Conundrum Entertainment']",,Pete Jones,36000000.0,83200000.0
The Adjustment Bureau,"['Michael Hackett', 'George Nolfi', 'Bill Carraro', 'Chris Moore']",John Toll,United States,106,2011-02-14,George Nolfi,Universal Pictures,English,George Nolfi,"['Matt Damon', 'Emily Blunt', 'Anthony Mackie', 'John Slattery', 'Michael Kelly', 'Terence Stamp']",Jay Rabinowitz,Thomas Newman,"['Media Rights Capital', 'Gambit Pictures', 'Electric Shepherd Productions']","['Adjustment Team', 'Philip K. Dick']",,62000000.0,127800000.0
Beastly,Susan Cartsonis,Mandy Walker,United States,86,2011-03-04,Daniel Barnz,CBS Films,English,Daniel Barnz,"['Alex Pettyfer', 'Vanessa Hudgens', 'Mary-Kate Olsen', 'Peter Krause', 'LisaGay Hamilton', 'Neil Patrick Harris']",Thomas J. Nordberg,Marcelo Zarvos,,"['Beastly', 'Alex Flinn']",,17000000.0,43200000.0
Rango,"['Gore Verbinski', 'Graham King', 'John B. Carls']",Roger Deakins,United States,107,2011-02-14,Gore Verbinski,Paramount Pictures,English,John Logan,"['Johnny Depp', 'Isla Fisher', 'Abigail Breslin', 'Ned Beatty', 'Alfred Molina', 'Bill Nighy', 'Harry Dean Stanton', 'Ray Winstone', 'Timothy Olyphant']",Craig Wood,Hans Zimmer,"['Nickelodeon Movies', 'Blind Wink Productions', 'GK Films']",,"['John Logan', 'Gore Verbinski', 'James Ward Byrkit']",135000000.0,245700000.0
Take Me Home Tonight,Ryan Kavanaugh,Terry Stacey,United States,97,2011-03-02,Michael Dowse,"['Relativity Media', 'Universal Pictures']",English,Jackie Filgo Jeff Filgo,"['Topher Grace', 'Anna Faris', 'Dan Fogler', 'Teresa Palmer', 'Michael Biehn']",Lee Haxall,Trevor Horn,"['Imagine Entertainment', 'Rogue']",,"['Topher Grace', 'Gordon Kaywin']",19000000.0,7400000.0
Battle: Los Angeles,"['Ori Marmur', 'Neal H. Moritz']",Lukas Ettlin,United States,116,2011-03-08,Jonathan Liebesman,Sony Pictures Releasing,English,Chris Bertolini,"['Aaron Eckhart', 'Michelle Rodriguez', 'Ramon Rodriguez', 'Bridget Moynahan', 'Ne-Yo', 'Michael Peña']",Christian Wagner,Brian Tyler,"['Columbia Pictures', 'Relativity Media', 'Original Film']",,,70000000.0,212000000.0
Jane Eyre,Alison Owen,Adriano Goldman,,120,2011-03-09,Cary Joji Fukunaga,"['Focus Features', 'Universal Pictures']",,Moira Buffini,"['Mia Wasikowska', 'Michael Fassbender', 'Jamie Bell', 'Judi Dench']",Melanie Oliver,Dario Marianelli,"['Focus Features', 'BBC Films']","['Jane Eyre', 'Charlotte Brontë']",,,35000000.0
